Trump_1,10.0,"$0 to $9,875"
Trump_2,12.0,"$9,876 to $40,125"
Trump_3,22.0,"$40,126 to $85,525"
Trump_4,24.0,"$85,526 to $163,300"
Trump_5,32.0,"$163,301 to $207,350"
Trump_6,35.0,"$207,351 to $518,400"
Trump_7,37.0,"$518,401+"
Biden_1,10.0,"$0 to $9,875"
Biden_2,12.0,"$9,876 to $40,125"
Biden_3,22.0,"$40,126 to $85,525"
Biden_4,24.0,"$85,526 to $163,300"
Biden_5,32.0,"$163,301 to $207,350"
Biden_6,35.0,"$207,351 to $518,400"
Biden_7,39.6,"$518,401+"
